title,summary,url,publish_date,domain
HDFC Bank partners IAF and CSC Academy for veteran initiative,"Mumbai: HDFC Bank has signed an MoU with the Indian Air Force and CSC Academy to launch Project HAKK (Hawai Anubhavi Kalyan Kendra), an initiative aimed at providing financial and administrative support to retired defence personnel and their families.
The initiative will set up 25 centres across Air Force units in cities including New Delhi, Bengaluru, Pune, Secunderabad, Guwahati, Jodhpur, and Chandigarh.The centres will assist veterans and their families with banking, pension-related issues, and essential documentation services.
Tasks such as Aadhaar updates, PAN card applications, passport services, and bill payments, which previously required multiple visits to different offices, can now be completed at these centres.
HDFC Bank, under its Parivartan programme, will also offer skill development and financial training to help veterans and their families manage their finances more effectively.CSC Academy will train individuals to manage the centres, and they will receive a monthly grant for the first year.
The initiative aims to simplify pension and settlement-related processes, ensuring that ex-servicemen and their families can access necessary services more efficiently.",https://timesofindia.indiatimes.com/business/india-business/hdfc-bank-partners-iaf-and-csc-academy-for-veteran-initiative/articleshow/118737377.cms,,Unknown
"Which stocks are mutual funds buying, selling or holding","Which stocks are mutual funds buying, selling or holdingPrashant MaheshET Bureau Updated: Mar 17, 2025, 21:55 IST ISTLarge banks, NBFCs, select auto and pharma stocks are the top picks.
A look at the detailed list belowMutual fund managers made selective purchases of large banks , NBFCs , select auto and pharma names in February.
SBI , HDFC Bank , Bajaj Finance , Axis Bank and Kotak Bank were some of their top picks as balance sheet strength enabled these stocks to outperform smaller rivals.
Some funds bought select large-cap pharma stocks like Sun Pharma, Dr Reddy's and Cipla following the fall in the stock prices.",https://timesofindia.indiatimes.com/toi-plus/business-economy/which-stocks-are-mutual-funds-buying-selling-or-holding/articleshow/119112181.cms,,Unknown
New tech for ice stupas to beat Ladakh water woes,"Since 2018, more than 80 ice stupas have come up, 27 of them in the last year, with villages seeing in them an effective solution to water scarcityLEH: Technology is breaking new ground in the arid reaches of Ladakh.
Scientist Sonam Wangchuck improved on this by making the first ice stupa in 2013.
""The automated system consists of temperature sensors, humidity sensors, and motorised valves that control water flow.
""People had to visit the stupas at least twice a day to regulate water flow.
""The Ice Stupas have proven to be an effective solution for water management in Ladakh.",https://timesofindia.indiatimes.com/india/new-tech-for-ice-stupas-to-beat-ladakh-water-woes/articleshow/119228263.cms,,Unknown
"Top stocks to buy: Stock recommendations for the week starting March 3, 2025","Top stocks to buy (AI image)According to Motilal Oswal Financial Services Ltd, the top stock picks for the week (starting March 3, 2025) are HDFC Bank and Max Healthcare.
Always consult with a qualified investment advisor or financial planner before making any investment decisions.
Stock market recommendations:HDFC Bank stands to benefit from the RBI’s decision to lower risk weights on bank loans to NBFCs and MFIs, easing capital constraints and improving credit flow.
Max Dwarka achieved EBITDA breakeven within six months, while Lucknow and Nagpur hospitals showed robust growth.
We reiterate BUY valuing at 35x 12M forward EV/EBITDA, reflecting its strong execution and expansion potential.",https://timesofindia.indiatimes.com/business/india-business/top-stock-recommendations-for-march-03-2025-week-hdfc-bank-max-healthcare-stocks-to-buy-today/articleshow/118672666.cms,,Unknown
"TCS, SBI lead 2.1 lakh cr surge in top 10 companies' m-cap this week; what lies ahead?","The US will also release its CPI (YoY) for February, a crucial indicator for the Federal Reserve's policy outlook.
Disclaimer: The opinions, analyses and recommendations expressed herein are those of brokerage and do not reflect the views of The Times of India.
The combined market value of seven of the top ten most valued companies in India surged by Rs 2,10,254.96 crore, driven by strong momentum in the stock markets last week.
Hindustan Unilever also saw a rise of Rs 2,819.51 crore, bringing its market value to Rs 5,17,802.92 crore.On the other hand, some companies experienced declines.
HDFC Bank’s market capitalisation dropped by Rs 31,832.92 crore, falling to Rs 12,92,578.39 crore.",https://timesofindia.indiatimes.com/business/india-business/tcs-sbi-lead-2-1-lakh-cr-surge-in-top-10-companies-m-cap-this-week-what-lies-ahead/articleshow/118817874.cms,,Unknown
Ranya Rao’s Gold Smuggling Case: DRI uncovers explosive details in Tarun's interrogation,"Actress Ranya Rao has been arrested in connection with a gold smuggling case on March 3, and her arrest has garnered significant attention.
The Directorate of Revenue Intelligence (DRI) investigation into actress Ranya Rao's alleged involvement in a gold smuggling case has revealed shocking details.
It has been revealed that Telugu actor and entrepreneur Tarun Raj Konduru , also known as Virat Konduru (30), is also implicated in the case.
The company, named Veera Diamonds Trading LLC, was founded in 2023 with an equal 50:50 partnership between Ranya and Tarun.
The DRI is now scrutinizing these overseas transactions and declarations to determine the full extent of the alleged smuggling network.",https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/ranya-raos-gold-smuggling-case-dri-uncovers-explosive-details-in-taruns-interrogation/articleshow/119116258.cms,,Unknown
Major drug bust: City cops arrest man with 121.9g of meth,"The accused, Krishna Kumar, from Plachery in Kollam, was arrested by a team of the district anti-narcotic special action force (Dansaf).
The seizure was made under the direction of Ernakulam City police commissioner Putta Vimaladitya, DCP Ashwathi Jiji, and Juvenapudi Mahesh.
Kenyan nationals Eglay and Pamela were arrested for continuing to stay in India after their visas expired.
The arrested person was identified as Hameem Thwayyib, a native of Lakshadweep who resided in Elamakkara Vikas Road.
Two officers of Elamakkara police, who were on night patrol in the early hours of Saturday, were injured in the incident.",https://timesofindia.indiatimes.com/city/kochi/major-drug-bust-city-cops-arrest-man-with-121-9g-of-meth/articleshow/119050817.cms,,Unknown
"Sensex dips to 73,086 points","Representative imageIn volatile trades , sensex closed 112 points down at 73,086 points with HDFC Bank and RIL contributing the most to the day's slide.
UltraTech Cement , which had seen a selloff on Friday after it announced its plans to enter the cables & wires business, closed over 2% higher.",https://timesofindia.indiatimes.com/business/india-business/sensex-dips-to-73086-points/articleshow/118693824.cms,,Unknown
Tax planning before March 31 deadline? Tax saving fixed deposits with high interest rates,"A Tax Saving FD represents a special term deposit that provides tax advantages under Section 80C.
(AI image)What is a Tax Saving FD?
It’s that time of the year again when you scramble for last minute tax saving investments.
It is worth noting that tax saving investment avenues need to be considered only if you are filing your income tax return under the old tax regime.Also Read | Gold prices at record high!
Check these 5 charts before putting more money in gold A Tax Saving FD represents a special term deposit that provides tax advantages under Section 80C of the Income Tax Act, 1961.",https://timesofindia.indiatimes.com/business/financial-literacy/taxation/tax-planning-before-march-31-deadline-tax-saving-fixed-deposits-with-high-interest-rates-check-list/articleshow/119201056.cms,,Unknown
Poonawalla Fincorp bets on unsecured 15-minute loans,"Representative imageMUMBAI: Poonawalla Fincorp is going against the tide by growing unsecured loans.
The company is targeting 'premium' borrowers with unsecured loans of up to Rs 15 lakh, disbursed digitally in 15 minutes.
""We have extensive experience in unsecured lending, with low delinquency rates among top white-collar professionals,"" said CEO Arvind Kapil.
While the loan is for salaried borrowers the company plans to extend it to self-employed in a few months.
In the aftermath of the pandemic, the Poonawalla group, buoyed by the global recognition of its Covid vaccine and its deep pockets, set its sights on retail lending.",https://timesofindia.indiatimes.com/business/india-business/poonawalla-fincorp-bets-on-unsecured-15-minute-loans/articleshow/118693232.cms,,Unknown
